Step,TrainAcc,EvalAcc,TestAcc
0.0100,0.994118,0.913086,0.895965
0.3160,0.987083,0.896289,0.860957
0.0316,0.997470,0.905273,0.889735
1.0000,0.969216,0.891992,0.815763
0.1,0.994007,0.901172,0.866792
