Step,TrainAcc,EvalAcc,TestAcc
0.1000,0.991211,0.879102,0.854925
0.3160,0.993985,0.895898,0.881824
1.0000,0.994096,0.901367,0.865111
3.1620,0.994074,0.899414,0.884889
10.0000,0.993963,0.903711,0.888449
