Step,TrainAcc,EvalAcc,TestAcc
0.1000,0.103560,0.108398,0.099684
0.2000,0.104048,0.108594,0.099684
0.3000,0.104648,0.108594,0.100079
0.4000,0.111350,0.108398,0.100277
0.5000,0.618342,0.621094,0.441555
0.6000,0.993408,0.913086,0.880538
0.7000,0.993652,0.911719,0.880835
0.8000,0.994030,0.908789,0.855123
0.9000,0.994340,0.910156,0.891812
1.0,0.994007,0.901172,0.866792
