0.006896, 6577, 0.657700, 0.007071, 0, 0.000000
0.006527, 6058, 0.605800, 0.004899, 9595, 0.959500
0.005888, 8336, 0.833600, 0.005961, 8217, 0.821700
0.006563, 6381, 0.638100, 0.004750, 9664, 0.966400
0.007269, 4413, 0.441300, 0.004363, 9896, 0.989600
0.006302, 7170, 0.717000, 0.005253, 9307, 0.930700
0.007145, 4436, 0.443600, 0.004982, 9686, 0.968600
0.006817, 5637, 0.563700, 0.005327, 9606, 0.960600
0.006359, 6922, 0.692200, 0.005720, 9019, 0.901900
0.006794, 5707, 0.570700, 0.005214, 9935, 0.993500
0.006106, 8516, 0.851600, 0.005973, 8530, 0.853000
