Wall time,Step,Value
1597146026.0501642,42,91.80664825439453
1597146111.3261049,167,91.7522201538086
1597146153.7283726,229,89.99601745605469
1597146157.0876288,234,88.55248260498047
1597146183.7537146,273,92.07154846191406
1597146321.1989105,474,93.70133972167969
1597146363.5056002,536,93.14791870117188
1597146392.7444968,579,88.05530548095703
1597146397.601027,586,90.00452423095703
1597146430.4340794,634,92.33169555664062
1597146439.3382323,647,89.97991180419922
1597146485.0319743,714,93.5094985961914
1597146548.8868802,808,90.1100082397461
1597146689.3503547,1014,91.04370880126953
1597146907.1994603,1333,89.2565689086914
1597146942.8710394,1385,91.10675811767578
1597146947.6669798,1392,90.14209747314453
1597146977.587512,1436,90.20003509521484
1597147151.5344028,1691,91.28817749023438
1597147181.0331287,1734,92.1864013671875
1597147183.0789638,1737,88.22899627685547
1597147278.6008515,1877,90.05619812011719
1597147305.8731132,1917,93.53688049316406
1597147387.0025616,2036,88.5698013305664
1597147498.0711918,2199,90.39675903320312
1597147571.9542923,2307,90.2740707397461
1597147628.0522392,2389,88.06745910644531
1597147693.8255844,2485,89.5345230102539
1597147694.5182595,2486,88.03258514404297
1597147830.5457513,2685,88.99604034423828
1597148072.0718381,3038,86.13966369628906
1597148203.2263145,3230,87.78890991210938
1597148214.101022,3246,88.58451843261719
1597148254.3950636,3305,87.94632720947266
1597148467.841702,3618,85.85247039794922
1597148469.1789796,3620,88.00414276123047
1597148503.3208435,3670,86.23187255859375
1597148551.8348763,3741,87.14314270019531
1597148601.759188,3814,84.20153045654297
1597148606.5345082,3821,85.8810806274414
1597148698.7124455,3956,86.21800994873047
1597148945.0717258,4317,85.70233154296875
1597149001.7720962,4400,84.8128890991211
1597149064.5502443,4492,85.31671142578125
1597149076.1268406,4509,84.57542419433594
1597149190.012673,4676,83.59851837158203
1597149266.6337047,4788,83.80471801757812
1597149391.4896152,4971,81.39407348632812
1597149502.819941,5134,82.36873626708984
1597149647.0023105,5345,82.6256103515625
1597149656.5806694,5359,82.99652862548828
1597149905.466241,5723,81.05172729492188
1597150002.093324,5864,79.02081298828125
1597150031.456495,5907,78.50922393798828
1597150088.091195,5990,78.81307220458984
1597150232.0535233,6200,76.90509033203125
1597150244.9983613,6219,78.07640838623047
1597150488.0837045,6574,75.19197082519531
1597150573.402242,6699,74.25259399414062
1597150581.6583917,6711,72.70503997802734
1597150679.6140442,6854,72.08622741699219
1597150756.2857258,6966,70.68240356445312
1597150885.5755308,7155,69.70042419433594
1597151041.2885487,7382,64.58773803710938
1597151094.6358695,7460,62.763587951660156
1597151096.693192,7463,64.15046691894531
1597151129.5940793,7511,66.07990264892578
1597151326.05242,7798,55.07520294189453
1597151349.87767,7833,56.53549575805664
1597151457.9626994,7991,58.08345413208008
1597151509.4448488,8066,59.53805160522461
1597151587.0304112,8180,83.25703430175781
1597151615.2360284,8221,83.24113464355469
1597151712.2870996,8363,67.43506622314453
1597151804.801208,8498,84.01754760742188
1597151811.6248186,8508,46.14665222167969
1597151875.1179986,8601,44.01225662231445
1597152064.1453087,8878,75.30198669433594
1597152103.1307738,8935,86.03865051269531
1597152142.561378,8993,2.1249516010284424
1597152324.3001478,9260,1.0822746753692627
1597152466.0078478,9468,70.64015197753906
1597152524.613684,9554,70.61231231689453
1597152533.4862816,9567,67.63933563232422
1597152622.6732664,9698,63.56723403930664
1597152765.4733536,9907,71.92472839355469
1597153016.9688034,10276,70.47499084472656
1597153100.7178402,10399,58.401206970214844
1597153155.5522966,10479,67.68091583251953
1597153185.0776877,10522,74.93240356445312
1597153243.416276,10607,53.64533996582031
1597153361.9833057,10780,64.07097625732422
1597153445.2172434,10902,65.01985168457031
1597153447.2978585,10905,62.565757751464844
1597153489.1929755,10966,55.39628219604492
1597153494.6947544,10974,61.47652816772461
1597153526.3062117,11020,55.864139556884766
1597153582.5835214,11102,51.741973876953125
1597153877.0123818,11532,66.06782531738281
1597153900.4339154,11566,70.5816650390625
1597153982.2446542,11685,62.909141540527344
1597154032.8593225,11759,56.11351013183594
1597154176.3360806,11969,57.7773323059082
1597154179.728615,11974,60.36861038208008
1597154309.8273914,12164,63.79326629638672
1597154395.9727294,12290,55.55353927612305
1597154656.7660582,12671,54.08699035644531
1597154870.9227848,12877,62.79225540161133
1597154978.239021,13034,59.47024917602539
1597154996.7282648,13061,62.207698822021484
