Wall time,Step,Value
1575630117.8630717,42,90.08499908447266
1575630152.8492832,94,90.01663208007812
1575630201.700293,167,89.97972869873047
1575630242.5717492,229,91.38666534423828
1575630245.8835795,234,89.983642578125
1575630259.6744437,255,90.36672973632812
1575630271.4784336,273,89.98863983154297
1575630294.4079814,308,89.96612548828125
1575630295.6979926,310,89.99363708496094
1575630300.9877393,318,91.75534057617188
1575630410.167921,474,90.64942932128906
1575630450.95569,536,92.81661224365234
1575630479.4735658,579,90.00807189941406
1575630484.0789585,586,90.0188217163086
1575630515.5363276,634,89.9023208618164
1575630524.0242739,647,92.16461944580078
1575630567.721516,714,89.99748229980469
1575630572.9242828,722,90.21837615966797
1575630628.2225845,808,89.99358367919922
1575630646.4343884,836,90.2369384765625
1575630765.7644427,1014,90.93402099609375
1575630799.5765314,1066,89.99678802490234
1575630824.1704993,1104,89.99937438964844
1575630873.1261852,1180,89.9749755859375
1575630924.6843255,1261,90.02194213867188
1575630959.4944427,1316,89.99654388427734
1575630961.4200976,1319,90.00492095947266
1575630970.1609516,1333,90.04591369628906
1575630972.6479325,1337,89.90603637695312
1575631007.7180057,1385,89.99864196777344
1575631012.1621509,1392,90.02045440673828
1575631040.1616635,1436,90.02272033691406
1575631113.582354,1552,91.30436706542969
1575631201.7421653,1691,89.98410034179688
1575631228.7663524,1734,90.05416107177734
1575631230.7671545,1737,90.52542877197266
1575631302.7502534,1844,89.99310302734375
1575631323.4646392,1877,90.0118408203125
1575631348.7051132,1917,90.10107421875
1575631423.7664223,2036,90.83003997802734
1575631461.2907338,2096,90.02456665039062
1575631525.7670991,2199,90.00518798828125
1575631569.6776605,2262,89.98310852050781
1575631597.7746196,2307,90.02515411376953
1575631649.2546241,2389,91.14159393310547
1575631678.8371122,2436,89.98829650878906
1575631689.6111965,2453,90.0062255859375
1575631690.8907354,2455,90.01902770996094
1575631709.595309,2485,90.01734161376953
1575631710.1818645,2486,90.00072479248047
1575631717.713548,2498,90.0262222290039
1575631720.878899,2503,89.99149322509766
1575631739.184371,2532,91.88871002197266
1575631834.4496613,2685,90.11144256591797
1575631873.400925,2740,90.06488800048828
1575632014.5426962,2967,89.97860717773438
1575632058.9753082,3038,90.03842163085938
1575632139.6386514,3161,89.98869323730469
1575632182.849261,3230,89.88240051269531
1575632192.7977085,3246,89.98140716552734
1575632193.418484,3247,90.05113220214844
1575632229.207603,3305,90.0278549194336
1575632337.3981125,3480,89.99921417236328
1575632426.8145492,3618,91.837158203125
1575632428.0693524,3620,89.9921875
1575632458.7829719,3670,90.1000747680664
1575632502.4944806,3741,90.12813568115234
1575632547.8457046,3814,90.00836181640625
1575632552.1005316,3821,90.0224380493164
1575632617.8614993,3928,89.98958587646484
1575632635.16246,3956,89.98451232910156
1575632684.043799,4036,90.03414154052734
1575632726.8362155,4098,90.00848388671875
1575632787.20372,4196,92.06887817382812
1575632809.4377575,4232,90.0183334350586
1575632862.352108,4317,90.21436309814453
1575632913.5502312,4400,89.99464416503906
1575632969.889477,4492,90.05660247802734
1575632985.166637,4509,90.00653839111328
1575633080.2856438,4664,90.04595947265625
1575633082.7893434,4668,89.98802185058594
1575633087.6344483,4676,91.20767211914062
1575633155.8344934,4788,90.16072845458984
1575633164.4826698,4802,89.99015045166016
1575633220.8861098,4894,90.77886199951172
1575633272.4053507,4971,90.08269500732422
1575633355.1817775,5106,90.41786193847656
1575633372.3774755,5134,90.04619598388672
1575633502.2350793,5345,90.02812194824219
1575633510.7133124,5359,90.23247528076172
1575633552.7289426,5420,89.91626739501953
1575633631.343995,5549,90.15817260742188
1575633710.5806952,5679,89.96442413330078
1575633737.6430352,5723,90.0010757446289
1575633789.2227387,5808,90.01211547851562
1575633828.1859012,5864,90.05612182617188
1575633832.4829066,5871,90.0297622680664
1575633854.690661,5907,90.06254577636719
1575633905.5520358,5990,90.77102661132812
1575634034.0655792,6200,90.16156005859375
1575634045.439037,6219,90.03463745117188
1575634088.0890996,6289,89.99557495117188
1575634145.8692274,6376,90.00201416015625
1575634266.743013,6574,90.39325714111328
1575634284.421415,6603,90.00460052490234
1575634342.7429523,6699,90.06038665771484
1575634349.777037,6711,90.01422119140625
1575634441.112558,6854,90.0252456665039
1575634509.048795,6966,90.1226577758789
1575634598.8747797,7114,90.21493530273438
1575634623.8349302,7155,90.41339111328125
1575634765.6088645,7382,90.4301986694336
1575634812.5028005,7460,89.9812240600586
1575634814.345322,7463,90.03971862792969
1575634823.4616823,7478,90.0090560913086
1575634843.723729,7511,90.0120849609375
1575635016.7695081,7788,90.88582611083984
1575635022.956273,7798,90.00865936279297
1575635044.3008556,7833,90.08027648925781
1575635139.089475,7991,90.21865844726562
1575635184.2218142,8066,89.99981689453125
1575635258.0863755,8180,90.03054809570312
1575635282.9564145,8221,90.02169799804688
1575635368.6987593,8363,90.69783020019531
1575635371.7365694,8368,90.10079956054688
1575635377.1636522,8377,90.03327941894531
1575635450.4728968,8498,90.00146484375
1575635456.3418643,8508,89.9859619140625
1575635517.1075966,8601,89.99868774414062
1575635684.4342377,8878,90.01350402832031
1575635702.062388,8907,90.01673889160156
1575635714.8275561,8928,90.00013732910156
1575635718.957906,8935,90.06407165527344
1575635753.9831703,8993,90.03736877441406
1575635919.2166035,9260,90.12232208251953
1575636049.2154593,9468,89.99022674560547
1575636101.3579884,9554,90.00373840332031
1575636109.108104,9567,90.02666473388672
1575636176.8967047,9680,90.16461944580078
1575636187.7194278,9698,90.00782775878906
1575636275.7204056,9843,89.98591613769531
1575636319.0115142,9907,90.01019287109375
1575636426.8745294,10084,90.02951049804688
1575636542.5711098,10276,90.18744659423828
1575636546.6685357,10283,90.02227020263672
1575636621.624518,10399,90.03325653076172
1575636669.4823396,10479,89.99886322021484
1575636695.124549,10522,90.01265716552734
1575636746.3180254,10607,89.99871063232422
1575636774.561045,10654,90.12319946289062
1575636809.1292822,10711,90.0454330444336
1575636836.3312972,10757,90.93470764160156
1575636836.9661877,10758,90.4950942993164
1575636849.9779317,10780,90.0176010131836
1575636896.7297068,10850,89.98089599609375
1575636928.1458392,10902,90.62354278564453
1575636929.9321544,10905,90.00859069824219
1575636953.1009226,10943,89.99229431152344
1575636967.037066,10966,90.00845336914062
1575636971.9616785,10974,90.51730346679688
1575636999.4963222,11020,90.00421142578125
1575637049.224899,11102,90.0105209350586
1575637060.4670691,11121,90.0167236328125
1575637106.7716286,11198,90.02349853515625
1575637244.1001744,11419,90.00569152832031
1575637275.8698478,11472,90.60314178466797
1575637287.8628857,11492,90.2011489868164
1575637306.5526273,11523,89.99748992919922
1575637312.0161428,11532,90.02113342285156
1575637332.4699602,11566,90.83460235595703
1575637381.8491662,11648,90.07136535644531
1575637404.201823,11685,90.01354217529297
1575637453.3887358,11759,90.03512573242188
1575637579.8408885,11969,90.01699829101562
1575637582.8644795,11974,90.00313568115234
1575637604.4878347,12010,90.0381088256836
1575637681.3097034,12138,90.02279663085938
1575637701.7606673,12164,90.14060974121094
1575637777.3557997,12290,90.02559661865234
1575638011.232372,12671,90.75643920898438
1575638134.5091732,12877,90.04800415039062
1575638171.3886173,12939,90.09691619873047
1575638218.1753566,13017,89.97703552246094
1575638228.6227663,13034,90.00350952148438
1575638249.6222353,13061,90.00448608398438
1575638262.3478591,13082,90.07107543945312
1575638269.4698896,13094,90.03465270996094
1575638278.4597335,13109,90.01947784423828
1575638454.3702083,13402,90.00170135498047
1575638520.4477618,13504,90.00212860107422
1575638545.725483,13546,90.4210205078125
1575638576.1560686,13597,90.00415802001953
1575638589.7798033,13620,89.99905395507812
1575638625.472596,13679,89.94075775146484
1575638704.1733642,13810,90.01934814453125
1575638748.332145,13884,89.99655151367188
1575638870.83726,14080,90.0189208984375
1575638955.9137588,14221,89.99594116210938
1575638999.5675013,14294,90.00975036621094
1575639014.8854663,14320,90.04972839355469
1575639025.8519895,14338,90.03343200683594
1575639061.3781822,14397,90.00470733642578
1575639096.480939,14447,90.01509857177734
1575639207.1314642,14632,89.99793243408203
1575639210.613322,14638,89.9892578125
1575639228.7912238,14668,90.08561706542969
1575639234.3484883,14677,90.16067504882812
1575639240.4826868,14687,89.99700927734375
1575639295.6789517,14779,90.23858642578125
1575639301.0327833,14788,90.43173217773438
1575639313.623892,14809,89.99564361572266
1575639356.618675,14873,90.01285552978516
1575639367.8660638,14892,89.99722290039062
1575639486.5787973,15090,90.75836181640625
1575639540.3134134,15180,90.8349609375
1575639591.794,15266,90.01802825927734
1575639631.42909,15324,90.01956939697266
1575639720.6353257,15473,90.0423583984375
1575639721.8349142,15475,90.13118743896484
1575639740.9866996,15507,90.00330352783203
1575639759.748277,15538,90.71250915527344
1575639880.5130277,15740,90.01570892333984
1575639899.801255,15764,90.00513458251953
1575640035.852068,15993,90.02897644042969
1575640096.7570624,16095,89.98624420166016
1575640108.9674187,16116,90.23474884033203
1575640192.8705058,16249,90.08516693115234
1575640236.1763418,16321,89.99991607666016
1575640249.2716942,16343,90.12918853759766
1575640287.3620605,16406,91.28367614746094
1575640346.4445918,16505,90.03182983398438
1575640465.5232058,16697,90.0400619506836
1575640532.4229524,16809,90.0775375366211
1575640561.3111167,16857,89.99266815185547
1575640586.305843,16899,90.01271057128906
1575640685.9641945,17066,90.00312805175781
1575640704.715118,17097,90.01065063476562
1575640794.1855423,17239,90.01201629638672
1575640825.9111497,17292,89.99372100830078
1575640840.956897,17317,90.03514099121094
1575640854.0647979,17339,90.39689636230469
1575640916.7845042,17444,90.01725769042969
1575640976.312238,17543,90.00170135498047
1575640989.548753,17557,90.41918182373047
1575641006.8212495,17586,89.99771881103516
1575641011.5464432,17594,89.989501953125
1575641028.672371,17623,90.01187133789062
1575641087.948805,17722,90.72029876708984
1575641225.3367329,17953,90.02777099609375
1575641268.7485237,18018,89.99012756347656
1575641297.254518,18065,90.02709197998047
1575641415.8203392,18264,90.02130889892578
1575641448.1621728,18318,90.02051544189453
1575641532.6521397,18451,90.03305053710938
