Step,TrainAcc,EvalAcc,TestAcc
0.0000,0.993586,0.884961,0.873517
0.1000,0.993963,0.895508,0.871143
0.2000,0.994318,0.900586,0.887263
0.3000,0.994052,0.904102,0.874209
0.4000,0.994562,0.910742,0.895075
0.5000,0.994451,0.909961,0.886373
0.6000,0.994007,0.917578,0.882911
0.7000,0.817738,0.794922,0.671381
0.8000,0.687611,0.654688,0.365902
0.9000,0.526656,0.378320,0.100079

