Step,TrainAcc,EvalAcc,TestAcc
0.000316,0.247048,0.208008,0.099782
0.001000,0.212380,0.153711,0.100277
0.003162,0.941295,0.890625,0.785997
0.010000,0.994118,0.913086,0.895965
0.031600,0.997470,0.905273,0.889735
0.100000,0.994007,0.896289,0.872429
0.316000,0.987083,0.896289,0.860957
1.000000,0.969216,0.891992,0.815763
3.162278,0.902166,0.855078,0.642998
