Step,TrainAcc,EvalAcc,TestAcc
0.100000,0.991211,0.879102,0.854925
0.316000,0.993985,0.895898,0.881824
1.000000,0.994096,0.901367,0.865111
3.162000,0.994074,0.899414,0.884889
10.000000,0.994007,0.896289,0.872429
31.622777,0.993919,0.898828,0.881329
100.000000,0.993919,0.899219,0.878263
