Step,TrainAcc,EvalAcc,TestAcc
0.000000,0.993586,0.884961,0.873517
0.100000,0.993963,0.895508,0.871143
0.200000,0.994318,0.900586,0.887263
0.300000,0.994052,0.904102,0.874209
0.400000,0.994562,0.910742,0.895075
0.500000,0.994451,0.909961,0.886373
0.600000,0.994007,0.917578,0.882911
0.700000,0.817738,0.794922,0.671381
0.800000,0.687611,0.654688,0.365902
0.900000,0.526656,0.378320,0.100079
1.000000,0.297474,0.160156,0.114715
