Wall time,Step,Value
1602304494.1853683,42,80.85975646972656
1602304505.956239,167,87.80082702636719
1602304512.472807,229,79.45333862304688
1602304540.2206416,474,93.52063751220703
1602304546.0746248,536,114.79022979736328
1602304550.1237314,579,97.4615249633789
1602304550.7854917,586,107.31127166748047
1602304556.0096521,634,83.46430206298828
1602304557.2534337,647,89.57587432861328
1602304567.4604652,714,46.14253234863281
1602304577.0272148,808,90.8099365234375
1602304597.10106,1014,75.60726165771484
1602304631.9271362,1333,98.55229949951172
1602304636.8511345,1385,84.67427062988281
1602304637.51204,1392,90.52108764648438
1602304646.2318406,1436,94.28699493408203
1602304671.045644,1691,92.76818084716797
1602304675.106764,1734,90.68054962158203
1602304675.3891566,1737,80.5361099243164
1602304693.2752235,1877,83.42720794677734
1602304697.0637321,1917,92.19683837890625
1602304708.9455285,2036,79.90496826171875
1602304739.193783,2307,94.4898681640625
1602304746.946002,2389,86.92160034179688
1602304760.5368173,2485,94.65266418457031
1602304760.6292002,2486,67.61815643310547
1602304780.1395159,2685,89.25698852539062
1602304818.7316449,3038,90.4459457397461
1602304841.3780587,3230,71.18583679199219
1602304842.885676,3246,71.00547790527344
1602304848.4737039,3305,79.41506958007812
1602304883.314101,3618,93.16642761230469
1602304883.5046651,3620,87.97256469726562
1602304888.2820346,3670,115.94889068603516
1602304903.224726,3821,88.39695739746094
1602304919.7801244,3956,90.53645324707031
1602304959.1493878,4317,87.42821502685547
1602304967.705846,4400,60.247108459472656
1602304976.4118266,4492,91.36991882324219
1602304978.0253012,4509,85.92572784423828
1602304998.4196968,4676,92.41700744628906
1602305009.023476,4788,91.61563873291016
1602305031.1099982,4971,100.9555435180664
1602305047.199266,5134,93.66128540039062
1602305071.8983157,5345,88.43113708496094
1602305073.218945,5359,90.67176055908203
1602305112.9878817,5723,60.20153045654297
1602305127.0092216,5864,90.58980560302734
1602305131.0605326,5907,113.00992584228516
1602305142.9939568,5990,87.7038345336914
1602305164.2134209,6200,74.15835571289062
1602305166.0181239,6219,76.99632263183594
1602305204.3867023,6574,62.45840072631836
1602305220.8021975,6699,69.6180648803711
1602305221.9348476,6711,124.16545867919922
1602305236.083071,6854,98.46794891357422
1602305246.6523163,6966,93.50775909423828
1602305269.2291589,7155,115.14566040039062
1602305291.3868496,7382,99.84585571289062
1602305303.5021966,7460,86.79054260253906
1602305303.7856822,7463,94.07874298095703
1602305340.2255557,7798,105.53145599365234
1602305344.2203276,7833,97.19880676269531
1602305366.910322,8066,86.2797622680664
1602305381.7730978,8180,89.67497253417969
1602305386.3200798,8221,89.89263153076172
1602305399.6990788,8363,86.66655731201172
1602305417.222908,8498,80.16848754882812
1602305418.174149,8508,62.3078498840332
1602305427.6274376,8601,85.1825180053711
